segment,dateApp,dateDepart,dateReturn,ZipCode,Country,tripCost,travelersCount,nightsCount
Economy,2024-03-13,2024-03-24,2024-03-29,66237,US,611.82,1,5
Economy,2023-11-22,2023-12-09,2023-12-13,99458,UK,454.39,3,4
Standard,2024-06-11,2024-06-23,2024-06-25,70284,US,239.12,2,2
Standard,2024-02-14,2024-03-06,2024-03-08,10458,Australia,144.34,2,2
Economy,2024-12-07,2024-12-20,2024-12-23,70010,US,266.08,2,3
Standard,2022-07-25,2022-08-07,2022-08-12,07331,US,319.00,3,5
Standard,2022-02-08,2022-02-20,2022-02-22,84259,US,231.00,1,2
Premium,2022-11-24,2022-12-05,2022-12-08,28746,,254.29,1,3
Standard,2022-07-03,2022-07-17,2022-07-19,32953,,159.49,1,2
Economy,2024-12-10,2024-12-16,2024-12-21,14621,US,429.85,2,5
Standard,2022-07-17,2022-08-03,2022-08-09,26071,US,764.92,1,6
Premium,2024-08-02,2024-08-16,2024-08-19,40306,US,365.14,3,3
Economy,2022-10-10,2022-10-25,2022-10-31,72063,US,783.26,2,6
Standard,2023-09-29,2023-10-14,2023-10-25,52296,,1053.23,2,11
Economy,2024-03-29,2024-04-11,2024-04-13,09305,US,164.99,1,2
Standard,2022-03-25,2022-04-06,2022-04-09,74847,US,385.00,2,3
Premium,2022-10-15,2022-10-29,2022-10-31,85649,,168.64,1,2
Economy,2022-05-30,2022-06-12,2022-06-14,32742,Japan,240.80,1,2
Economy,2022-04-16,2022-05-04,2022-05-06,30982,US,191.66,2,2
Premium,2023-08-19,2023-08-30,2023-08-31,59638,US,98.91,1,1
Economy,2024-06-04,2024-06-21,2024-06-26,07989,US,532.30,2,5
Standard,2022-03-19,2022-04-03,2022-04-05,15713,Italy,232.57,1,2
Economy,2023-12-03,2023-12-18,2023-12-20,41180,US,160.00,2,2
Economy,2023-05-31,2023-06-16,2023-06-19,73792,,273.94,1,3
Economy,2022-04-19,2022-04-30,2022-05-11,92214,US,1291.72,3,11
Economy,2024-04-26,2024-05-11,2024-05-13,97310,US,166.96,3,2
Premium,2022-12-01,2022-12-16,2022-12-18,12097,US,194.92,3,2
Economy,2024-10-18,2024-10-26,2024-10-28,92493,US,257.68,1,2
Economy,2022-01-04,2022-01-13,2022-01-20,05229,Brazil,754.59,3,7
Economy,2022-09-04,2022-09-15,2022-09-21,20257,Mexico,662.81,2,6
Standard,2022-10-08,2022-10-18,2022-10-20,87806,Australia,248.80,1,2
Premium,2024-09-24,2024-10-06,2024-10-08,60332,US,302.64,1,2
Standard,2024-09-29,2024-10-15,2024-10-18,70282,US,310.19,2,3
Economy,2022-01-23,2022-02-12,2022-02-17,45309,US,384.98,2,5
Economy,2023-01-15,2023-01-30,2023-02-02,70575,US,296.50,4,3
Economy,2023-06-21,2023-07-16,2023-07-21,66469,US,696.26,3,5
Premium,2023-06-14,2023-06-27,2023-06-29,39446,US,269.98,2,2
Economy,2024-10-21,2024-11-02,2024-11-09,88555,US,603.67,1,7
Economy,2023-07-30,2023-08-20,2023-08-22,98453,US,129.54,3,2
Standard,2023-01-07,2023-01-25,2023-01-26,59692,US,96.57,2,1
Standard,2024-02-26,2024-03-08,2024-03-12,13970,France,394.13,2,4
